ERUID,ERNAME,NAICS,Concentration
5960,North Coast / Côte-nord,483,0.4%
2415,Bas-Saint-Laurent,333,0.4%
3580,Stratford-Bruce Peninsula,523,0.4%
4880,Wood Buffalo-Cold Lake,332,0.4%
2470,Mauricie,115,0.4%
3580,Stratford-Bruce Peninsula,488,0.4%
1250,Halifax,493,0.4%
2425,Chaudière-Appalaches,313,0.4%
2470,Mauricie,334,0.4%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,326,0.4%
4710,Regina-Moose Mountain,485,0.4%
2415,Bas-Saint-Laurent,524,0.4%
3540,Kitchener-Waterloo-Barrie,321,0.4%
2465,Abitibi-Témiscamingue,482,0.4%
2433,Centre-du-Québec,327,0.4%
2455,Laurentides,327,0.4%
3520,Muskoka-Kawarthas,334,0.4%
2475,Saguenay-Lac-Saint-Jean,339,0.4%
3540,Kitchener-Waterloo-Barrie,488,0.4%
3550,Hamilton-Niagara Peninsula,337,0.4%
4820,Camrose-Drumheller,523,0.4%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,524,0.4%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,483,0.4%
2480,Côte-Nord,327,0.4%
4830,Calgary,337,0.4%
1110,Prince Edward Island / Île-du-Prince-Édouard,481,0.4%
1010,Avalon Peninsula,523,0.4%
2465,Abitibi-Témiscamingue,332,0.4%
4840,Banff-Jasper-Rocky Mountain House,522,0.4%
5980,Northeast / Nord-est,492,0.4%
4660,Interlake,492,0.4%
3560,London,221,0.4%
2440,Montréal,485,0.4%
1250,Halifax,221,0.4%
5940,Kootenay,311,0.4%
2410,Gaspésie-Îles-de-la-Madeleine,339,0.4%
3595,Northwest / Nord-ouest,332,0.4%
2475,Saguenay-Lac-Saint-Jean,322,0.4%
3515,Kingston-Pembroke,221,0.4%
1230,Annapolis Valley,213,0.4%
2470,Mauricie,493,0.4%
1330,Saint John-St. Stephen,324,0.4%
4850,Red Deer,211,0.4%
2460,Outaouais,523,0.4%
3510,Ottawa,111,0.4%
5980,Northeast / Nord-est,524,0.4%
5930,Thompson-Okanagan,326,0.4%
1240,Southern / Sud,113,0.4%
1040,Notre Dame-Central Bonavista Bay,111,0.4%
1320,Moncton-Richibucto,333,0.4%
3590,Northeast / Nord-est,327,0.4%
4680,North / Nord,488,0.4%
4870,Athabasca-Grande Prairie-Peace River,522,0.4%
2420,Capitale-Nationale,483,0.4%
4620,South Central / Centre sud,314,0.4%
4810,Lethbridge-Medicine Hat,115,0.4%
2470,Mauricie,327,0.4%
3520,Muskoka-Kawarthas,327,0.4%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,332,0.4%
3560,London,325,0.4%
3570,Windsor-Sarnia,324,0.4%
3510,Ottawa,332,0.4%
3520,Muskoka-Kawarthas,492,0.4%
6110,Northwest Territories / Territoires du Nord-Ouest,485,0.4%
2415,Bas-Saint-Laurent,212,0.4%
2440,Montréal,335,0.4%
3595,Northwest / Nord-ouest,213,0.4%
2420,Capitale-Nationale,493,0.4%
1220,North Shore / Côte-nord,325,0.4%
1330,Saint John-St. Stephen,339,0.4%
4620,South Central / Centre sud,493,0.4%
2420,Capitale-Nationale,321,0.4%
2455,Laurentides,322,0.4%
2435,Montérégie,493,0.4%
5970,Nechako,311,0.4%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,483,0.4%
2455,Laurentides,113,0.4%
4730,Saskatoon-Biggar,488,0.4%
4870,Athabasca-Grande Prairie-Peace River,524,0.4%
3520,Muskoka-Kawarthas,112,0.4%
5940,Kootenay,312,0.4%
1230,Annapolis Valley,312,0.4%
3530,Toronto,492,0.4%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,323,0.4%
3515,Kingston-Pembroke,335,0.4%
4830,Calgary,481,0.4%
2415,Bas-Saint-Laurent,323,0.4%
4740,Yorkton-Melville,325,0.4%
1340,Fredericton-Oromocto,326,0.4%
4640,North Central / Centre nord,488,0.4%
1110,Prince Edward Island / Île-du-Prince-Édouard,115,0.4%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,325,0.4%
2420,Capitale-Nationale,327,0.4%
1220,North Shore / Côte-nord,315,0.4%
4860,Edmonton,327,0.4%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,334,0.4%
3570,Windsor-Sarnia,331,0.4%
1240,Southern / Sud,237,0.4%
3520,Muskoka-Kawarthas,212,0.4%
4740,Yorkton-Melville,115,0.4%
3515,Kingston-Pembroke,492,0.4%
4610,Southeast / Sud-est,334,0.4%
1220,North Shore / Côte-nord,336,0.4%
2433,Centre-du-Québec,115,0.4%
4820,Camrose-Drumheller,331,0.4%
4680,North / Nord,213,0.4%
4680,North / Nord,524,0.4%
1310,Campbellton-Miramichi,339,0.4%
3580,Stratford-Bruce Peninsula,493,0.4%
4760,Northern / Nord,488,0.4%
4810,Lethbridge-Medicine Hat,327,0.4%
2475,Saguenay-Lac-Saint-Jean,488,0.4%
2475,Saguenay-Lac-Saint-Jean,492,0.4%
4650,Winnipeg,492,0.4%
4810,Lethbridge-Medicine Hat,336,0.4%
4860,Edmonton,493,0.4%
5940,Kootenay,332,0.4%
2420,Capitale-Nationale,331,0.4%
6010,Yukon,221,0.4%
1220,North Shore / Côte-nord,327,0.3%
6110,Northwest Territories / Territoires du Nord-Ouest,524,0.3%
2420,Capitale-Nationale,337,0.3%
4710,Regina-Moose Mountain,488,0.3%
2455,Laurentides,339,0.3%
5950,Cariboo,333,0.3%
4880,Wood Buffalo-Cold Lake,522,0.3%
1310,Campbellton-Miramichi,523,0.3%
4710,Regina-Moose Mountain,321,0.3%
4660,Interlake,327,0.3%
5980,Northeast / Nord-est,332,0.3%
4880,Wood Buffalo-Cold Lake,111,0.3%
1210,Cape Breton,332,0.3%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,336,0.3%
1010,Avalon Peninsula,333,0.3%
5950,Cariboo,523,0.3%
3560,London,493,0.3%
4660,Interlake,115,0.3%
4610,Southeast / Sud-est,333,0.3%
2455,Laurentides,524,0.3%
4810,Lethbridge-Medicine Hat,485,0.3%
4730,Saskatoon-Biggar,481,0.3%
4820,Camrose-Drumheller,485,0.3%
3515,Kingston-Pembroke,112,0.3%
3570,Windsor-Sarnia,312,0.3%
3595,Northwest / Nord-ouest,311,0.3%
2460,Outaouais,111,0.3%
1310,Campbellton-Miramichi,327,0.3%
1320,Moncton-Richibucto,481,0.3%
4850,Red Deer,221,0.3%
3530,Toronto,322,0.3%
1230,Annapolis Valley,488,0.3%
2420,Capitale-Nationale,326,0.3%
2430,Estrie,488,0.3%
3515,Kingston-Pembroke,337,0.3%
4680,North / Nord,113,0.3%
5950,Cariboo,112,0.3%
3570,Windsor-Sarnia,339,0.3%
1220,North Shore / Côte-nord,524,0.3%
6010,Yukon,485,0.3%
5970,Nechako,111,0.3%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,314,0.3%
2415,Bas-Saint-Laurent,523,0.3%
2440,Montréal,322,0.3%
4680,North / Nord,484,0.3%
2433,Centre-du-Québec,221,0.3%
2425,Chaudière-Appalaches,322,0.3%
1230,Annapolis Valley,493,0.3%
1320,Moncton-Richibucto,334,0.3%
2480,Côte-Nord,337,0.3%
1240,Southern / Sud,115,0.3%
3515,Kingston-Pembroke,339,0.3%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,112,0.3%
2445,Laval,331,0.3%
2433,Centre-du-Québec,523,0.3%
1240,Southern / Sud,316,0.3%
4660,Interlake,311,0.3%
5980,Northeast / Nord-est,322,0.3%
3560,London,337,0.3%
4810,Lethbridge-Medicine Hat,221,0.3%
3515,Kingston-Pembroke,327,0.3%
2465,Abitibi-Témiscamingue,327,0.3%
2450,Lanaudière,336,0.3%
3510,Ottawa,333,0.3%
4640,North Central / Centre nord,523,0.3%
4830,Calgary,324,0.3%
1210,Cape Breton,113,0.3%
6010,Yukon,326,0.3%
4710,Regina-Moose Mountain,335,0.3%
5940,Kootenay,213,0.3%
2460,Outaouais,488,0.3%
2460,Outaouais,313,0.3%
3570,Windsor-Sarnia,112,0.3%
4880,Wood Buffalo-Cold Lake,115,0.3%
4650,Winnipeg,339,0.3%
1330,Saint John-St. Stephen,326,0.3%
1320,Moncton-Richibucto,112,0.3%
4850,Red Deer,485,0.3%
3510,Ottawa,327,0.3%
3580,Stratford-Bruce Peninsula,335,0.3%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,111,0.3%
4740,Yorkton-Melville,327,0.3%
5940,Kootenay,112,0.3%
1110,Prince Edward Island / Île-du-Prince-Édouard,322,0.3%
2470,Mauricie,335,0.3%
2425,Chaudière-Appalaches,523,0.3%
1230,Annapolis Valley,325,0.3%
1040,Notre Dame-Central Bonavista Bay,492,0.3%
4880,Wood Buffalo-Cold Lake,492,0.3%
4880,Wood Buffalo-Cold Lake,112,0.3%
1340,Fredericton-Oromocto,115,0.3%
4710,Regina-Moose Mountain,324,0.3%
2465,Abitibi-Témiscamingue,488,0.3%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,327,0.3%
2445,Laval,335,0.3%
5980,Northeast / Nord-est,325,0.3%
4880,Wood Buffalo-Cold Lake,327,0.3%
3550,Hamilton-Niagara Peninsula,334,0.3%
2440,Montréal,312,0.3%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,481,0.3%
2475,Saguenay-Lac-Saint-Jean,523,0.3%
3550,Hamilton-Niagara Peninsula,323,0.3%
5930,Thompson-Okanagan,333,0.3%
4670,Parklands,485,0.3%
4610,Southeast / Sud-est,523,0.3%
2450,Lanaudière,523,0.3%
3540,Kitchener-Waterloo-Barrie,313,0.3%
1220,North Shore / Côte-nord,312,0.3%
1320,Moncton-Richibucto,212,0.3%
3530,Toronto,327,0.3%
3570,Windsor-Sarnia,486,0.3%
2460,Outaouais,113,0.3%
3540,Kitchener-Waterloo-Barrie,331,0.3%
1010,Avalon Peninsula,312,0.3%
5950,Cariboo,111,0.3%
2460,Outaouais,323,0.3%
6010,Yukon,524,0.3%
2433,Centre-du-Québec,313,0.3%
3590,Northeast / Nord-est,492,0.3%
2470,Mauricie,315,0.3%
4680,North / Nord,485,0.3%
2440,Montréal,481,0.3%
3560,London,323,0.3%
4850,Red Deer,115,0.3%
4720,Swift Current-Moose Jaw,327,0.3%
3550,Hamilton-Niagara Peninsula,335,0.3%
2455,Laurentides,335,0.3%
4670,Parklands,115,0.3%
4870,Athabasca-Grande Prairie-Peace River,221,0.3%
4840,Banff-Jasper-Rocky Mountain House,112,0.3%
1040,Notre Dame-Central Bonavista Bay,327,0.3%
3595,Northwest / Nord-ouest,111,0.3%
3540,Kitchener-Waterloo-Barrie,221,0.3%
2455,Laurentides,112,0.3%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,339,0.3%
3570,Windsor-Sarnia,492,0.3%
4880,Wood Buffalo-Cold Lake,524,0.3%
5930,Thompson-Okanagan,327,0.3%
3510,Ottawa,481,0.3%
3515,Kingston-Pembroke,115,0.3%
2465,Abitibi-Témiscamingue,481,0.3%
2460,Outaouais,115,0.3%
3530,Toronto,335,0.3%
3530,Toronto,221,0.3%
4840,Banff-Jasper-Rocky Mountain House,524,0.3%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,336,0.3%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,334,0.3%
3550,Hamilton-Niagara Peninsula,112,0.3%
1110,Prince Edward Island / Île-du-Prince-Édouard,321,0.3%
5930,Thompson-Okanagan,337,0.3%
4630,Southwest / Sud-ouest,321,0.3%
4620,South Central / Centre sud,327,0.3%
2435,Montérégie,322,0.3%
3540,Kitchener-Waterloo-Barrie,322,0.3%
4750,Prince Albert,492,0.3%
2425,Chaudière-Appalaches,488,0.3%
2410,Gaspésie-Îles-de-la-Madeleine,336,0.3%
2440,Montréal,327,0.3%
1240,Southern / Sud,488,0.3%
4870,Athabasca-Grande Prairie-Peace River,212,0.3%
2420,Capitale-Nationale,112,0.3%
3595,Northwest / Nord-ouest,492,0.3%
2440,Montréal,492,0.3%
3580,Stratford-Bruce Peninsula,313,0.3%
4630,Southwest / Sud-ouest,485,0.3%
1320,Moncton-Richibucto,523,0.3%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,212,0.3%
2410,Gaspésie-Îles-de-la-Madeleine,112,0.3%
4710,Regina-Moose Mountain,526,0.3%
5940,Kootenay,485,0.3%
1320,Moncton-Richibucto,339,0.3%
4610,Southeast / Sud-est,524,0.3%
2450,Lanaudière,488,0.3%
4860,Edmonton,339,0.3%
3540,Kitchener-Waterloo-Barrie,493,0.3%
4830,Calgary,327,0.3%
2430,Estrie,113,0.3%
2465,Abitibi-Témiscamingue,111,0.3%
4860,Edmonton,492,0.3%
1220,North Shore / Côte-nord,492,0.3%
4740,Yorkton-Melville,221,0.3%
3560,London,314,0.3%
4830,Calgary,334,0.3%
2465,Abitibi-Témiscamingue,335,0.3%
2455,Laurentides,323,0.3%
1230,Annapolis Valley,339,0.3%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,327,0.3%
2460,Outaouais,337,0.3%
1210,Cape Breton,326,0.3%
3560,London,322,0.3%
2455,Laurentides,312,0.3%
5980,Northeast / Nord-est,481,0.3%
2460,Outaouais,339,0.3%
4730,Saskatoon-Biggar,327,0.3%
1350,Edmundston-Woodstock,523,0.3%
4680,North / Nord,311,0.3%
1310,Campbellton-Miramichi,221,0.3%
4860,Edmonton,323,0.3%
3570,Windsor-Sarnia,327,0.3%
4740,Yorkton-Melville,213,0.3%
3590,Northeast / Nord-est,322,0.3%
3570,Windsor-Sarnia,493,0.3%
4730,Saskatoon-Biggar,337,0.3%
1250,Halifax,326,0.3%
4670,Parklands,327,0.3%
4840,Banff-Jasper-Rocky Mountain House,486,0.3%
2465,Abitibi-Témiscamingue,312,0.3%
3550,Hamilton-Niagara Peninsula,483,0.3%
1250,Halifax,483,0.3%
3550,Hamilton-Niagara Peninsula,221,0.3%
1310,Campbellton-Miramichi,112,0.3%
4810,Lethbridge-Medicine Hat,325,0.3%
3590,Northeast / Nord-est,482,0.3%
5960,North Coast / Côte-nord,321,0.3%
5970,Nechako,481,0.3%
4840,Banff-Jasper-Rocky Mountain House,332,0.3%
5930,Thompson-Okanagan,339,0.3%
1010,Avalon Peninsula,492,0.3%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,333,0.3%
3590,Northeast / Nord-est,111,0.3%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,523,0.3%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,485,0.3%
3550,Hamilton-Niagara Peninsula,492,0.3%
3590,Northeast / Nord-est,311,0.3%
4830,Calgary,326,0.3%
4660,Interlake,313,0.3%
5940,Kootenay,339,0.3%
5930,Thompson-Okanagan,493,0.3%
5930,Thompson-Okanagan,492,0.3%
4840,Banff-Jasper-Rocky Mountain House,488,0.3%
4750,Prince Albert,327,0.2%
3520,Muskoka-Kawarthas,312,0.2%
4810,Lethbridge-Medicine Hat,211,0.2%
4830,Calgary,482,0.2%
2490,Nord-du-Québec,485,0.2%
4830,Calgary,339,0.2%
4620,South Central / Centre sud,523,0.2%
2415,Bas-Saint-Laurent,334,0.2%
4850,Red Deer,488,0.2%
3540,Kitchener-Waterloo-Barrie,492,0.2%
4830,Calgary,325,0.2%
4650,Winnipeg,335,0.2%
2435,Montérégie,212,0.2%
1230,Annapolis Valley,337,0.2%
2415,Bas-Saint-Laurent,339,0.2%
4610,Southeast / Sud-est,339,0.2%
4650,Winnipeg,315,0.2%
2430,Estrie,331,0.2%
3590,Northeast / Nord-est,336,0.2%
3590,Northeast / Nord-est,481,0.2%
2425,Chaudière-Appalaches,115,0.2%
4660,Interlake,493,0.2%
4830,Calgary,323,0.2%
2435,Montérégie,115,0.2%
4710,Regina-Moose Mountain,311,0.2%
2475,Saguenay-Lac-Saint-Jean,326,0.2%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,327,0.2%
3560,London,334,0.2%
1330,Saint John-St. Stephen,111,0.2%
4710,Regina-Moose Mountain,325,0.2%
6110,Northwest Territories / Territoires du Nord-Ouest,211,0.2%
2465,Abitibi-Témiscamingue,326,0.2%
3580,Stratford-Bruce Peninsula,483,0.2%
4840,Banff-Jasper-Rocky Mountain House,325,0.2%
4660,Interlake,485,0.2%
1250,Halifax,339,0.2%
2470,Mauricie,325,0.2%
4730,Saskatoon-Biggar,336,0.2%
1250,Halifax,323,0.2%
2425,Chaudière-Appalaches,334,0.2%
4840,Banff-Jasper-Rocky Mountain House,111,0.2%
2420,Capitale-Nationale,492,0.2%
4730,Saskatoon-Biggar,321,0.2%
1240,Southern / Sud,337,0.2%
4720,Swift Current-Moose Jaw,332,0.2%
3540,Kitchener-Waterloo-Barrie,323,0.2%
4710,Regina-Moose Mountain,115,0.2%
2415,Bas-Saint-Laurent,483,0.2%
3515,Kingston-Pembroke,113,0.2%
2450,Lanaudière,115,0.2%
1010,Avalon Peninsula,336,0.2%
5930,Thompson-Okanagan,221,0.2%
3580,Stratford-Bruce Peninsula,312,0.2%
4860,Edmonton,212,0.2%
4710,Regina-Moose Mountain,327,0.2%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,322,0.2%
1210,Cape Breton,483,0.2%
4720,Swift Current-Moose Jaw,523,0.2%
1320,Moncton-Richibucto,336,0.2%
1010,Avalon Peninsula,332,0.2%
3520,Muskoka-Kawarthas,221,0.2%
4810,Lethbridge-Medicine Hat,488,0.2%
4860,Edmonton,331,0.2%
1340,Fredericton-Oromocto,332,0.2%
1010,Avalon Peninsula,112,0.2%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,321,0.2%
1350,Edmundston-Woodstock,327,0.2%
4810,Lethbridge-Medicine Hat,339,0.2%
3580,Stratford-Bruce Peninsula,492,0.2%
1010,Avalon Peninsula,114,0.2%
4630,Southwest / Sud-ouest,327,0.2%
4750,Prince Albert,488,0.2%
3530,Toronto,481,0.2%
2420,Capitale-Nationale,335,0.2%
1220,North Shore / Côte-nord,493,0.2%
1220,North Shore / Côte-nord,333,0.2%
2410,Gaspésie-Îles-de-la-Madeleine,327,0.2%
2410,Gaspésie-Îles-de-la-Madeleine,492,0.2%
3540,Kitchener-Waterloo-Barrie,312,0.2%
2465,Abitibi-Témiscamingue,337,0.2%
4850,Red Deer,321,0.2%
1340,Fredericton-Oromocto,112,0.2%
3510,Ottawa,336,0.2%
5960,North Coast / Côte-nord,523,0.2%
1250,Halifax,325,0.2%
5970,Nechako,212,0.2%
1210,Cape Breton,485,0.2%
4870,Athabasca-Grande Prairie-Peace River,492,0.2%
4650,Winnipeg,322,0.2%
4680,North / Nord,321,0.2%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,335,0.2%
4640,North Central / Centre nord,325,0.2%
4640,North Central / Centre nord,492,0.2%
4650,Winnipeg,331,0.2%
2440,Montréal,482,0.2%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,312,0.2%
1250,Halifax,482,0.2%
2440,Montréal,331,0.2%
3550,Hamilton-Niagara Peninsula,321,0.2%
6110,Northwest Territories / Territoires du Nord-Ouest,115,0.2%
1250,Halifax,492,0.2%
4870,Athabasca-Grande Prairie-Peace River,481,0.2%
2410,Gaspésie-Îles-de-la-Madeleine,524,0.2%
4750,Prince Albert,485,0.2%
1250,Halifax,333,0.2%
4730,Saskatoon-Biggar,325,0.2%
1210,Cape Breton,112,0.2%
5970,Nechako,327,0.2%
5970,Nechako,483,0.2%
2430,Estrie,314,0.2%
2433,Centre-du-Québec,212,0.2%
3560,London,115,0.2%
1320,Moncton-Richibucto,312,0.2%
1230,Annapolis Valley,113,0.2%
4640,North Central / Centre nord,339,0.2%
3570,Windsor-Sarnia,212,0.2%
1040,Notre Dame-Central Bonavista Bay,115,0.2%
4720,Swift Current-Moose Jaw,485,0.2%
1340,Fredericton-Oromocto,523,0.2%
4620,South Central / Centre sud,315,0.2%
2450,Lanaudière,323,0.2%
1240,Southern / Sud,523,0.2%
4730,Saskatoon-Biggar,493,0.2%
2450,Lanaudière,212,0.2%
3510,Ottawa,493,0.2%
5970,Nechako,336,0.2%
1040,Notre Dame-Central Bonavista Bay,315,0.2%
1040,Notre Dame-Central Bonavista Bay,493,0.2%
2460,Outaouais,327,0.2%
2425,Chaudière-Appalaches,314,0.2%
2415,Bas-Saint-Laurent,325,0.2%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,213,0.2%
4820,Camrose-Drumheller,327,0.2%
3595,Northwest / Nord-ouest,523,0.2%
1320,Moncton-Richibucto,327,0.2%
3580,Stratford-Bruce Peninsula,339,0.2%
2480,Côte-Nord,111,0.2%
3580,Stratford-Bruce Peninsula,322,0.2%
3510,Ottawa,313,0.2%
4860,Edmonton,111,0.2%
3530,Toronto,111,0.2%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,492,0.2%
3530,Toronto,321,0.2%
1250,Halifax,213,0.2%
5960,North Coast / Côte-nord,524,0.2%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,111,0.2%
5980,Northeast / Nord-est,221,0.2%
2445,Laval,492,0.2%
3515,Kingston-Pembroke,212,0.2%
2415,Bas-Saint-Laurent,213,0.2%
2433,Centre-du-Québec,324,0.2%
4660,Interlake,339,0.2%
3590,Northeast / Nord-est,326,0.2%
2465,Abitibi-Témiscamingue,523,0.2%
4880,Wood Buffalo-Cold Lake,488,0.2%
4810,Lethbridge-Medicine Hat,337,0.2%
4820,Camrose-Drumheller,324,0.2%
2425,Chaudière-Appalaches,325,0.2%
3520,Muskoka-Kawarthas,323,0.2%
4650,Winnipeg,321,0.2%
2480,Côte-Nord,483,0.2%
2480,Côte-Nord,313,0.2%
2480,Côte-Nord,493,0.2%
2465,Abitibi-Témiscamingue,493,0.2%
2465,Abitibi-Témiscamingue,492,0.2%
6110,Northwest Territories / Territoires du Nord-Ouest,486,0.2%
1110,Prince Edward Island / Île-du-Prince-Édouard,485,0.2%
4870,Athabasca-Grande Prairie-Peace River,311,0.2%
1340,Fredericton-Oromocto,333,0.2%
2435,Montérégie,492,0.2%
5950,Cariboo,324,0.2%
1350,Edmundston-Woodstock,315,0.2%
1010,Avalon Peninsula,337,0.2%
4870,Athabasca-Grande Prairie-Peace River,485,0.2%
1310,Campbellton-Miramichi,333,0.2%
2455,Laurentides,115,0.2%
1250,Halifax,114,0.2%
1210,Cape Breton,111,0.2%
4860,Edmonton,324,0.2%
4810,Lethbridge-Medicine Hat,493,0.2%
3510,Ottawa,335,0.2%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,312,0.2%
4830,Calgary,212,0.2%
1240,Southern / Sud,327,0.2%
4730,Saskatoon-Biggar,115,0.2%
2445,Laval,321,0.2%
4650,Winnipeg,327,0.2%
2430,Estrie,323,0.2%
1320,Moncton-Richibucto,485,0.2%
2480,Côte-Nord,492,0.2%
2435,Montérégie,312,0.2%
6210,Nunavut,523,0.2%
2450,Lanaudière,492,0.2%
3570,Windsor-Sarnia,337,0.2%
2430,Estrie,334,0.2%
2465,Abitibi-Témiscamingue,315,0.2%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,212,0.2%
3530,Toronto,315,0.2%
3515,Kingston-Pembroke,526,0.2%
1310,Campbellton-Miramichi,326,0.2%
2435,Montérégie,315,0.2%
4870,Athabasca-Grande Prairie-Peace River,327,0.2%
4870,Athabasca-Grande Prairie-Peace River,339,0.2%
2425,Chaudière-Appalaches,335,0.2%
3570,Windsor-Sarnia,321,0.2%
5960,North Coast / Côte-nord,112,0.2%
3515,Kingston-Pembroke,312,0.2%
1340,Fredericton-Oromocto,337,0.2%
4840,Banff-Jasper-Rocky Mountain House,311,0.2%
2433,Centre-du-Québec,113,0.2%
4670,Parklands,492,0.2%
2450,Lanaudière,312,0.2%
3510,Ottawa,331,0.2%
4710,Regina-Moose Mountain,112,0.2%
5950,Cariboo,327,0.2%
4830,Calgary,492,0.2%
4820,Camrose-Drumheller,339,0.2%
3595,Northwest / Nord-ouest,327,0.2%
1330,Saint John-St. Stephen,312,0.2%
3550,Hamilton-Niagara Peninsula,322,0.2%
3540,Kitchener-Waterloo-Barrie,314,0.2%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,114,0.2%
3590,Northeast / Nord-est,112,0.2%
2475,Saguenay-Lac-Saint-Jean,481,0.2%
1250,Halifax,481,0.2%
1350,Edmundston-Woodstock,337,0.2%
6210,Nunavut,524,0.2%
5950,Cariboo,311,0.2%
4630,Southwest / Sud-ouest,339,0.2%
2425,Chaudière-Appalaches,315,0.2%
2420,Capitale-Nationale,312,0.2%
2430,Estrie,115,0.2%
2420,Capitale-Nationale,336,0.2%
1240,Southern / Sud,312,0.2%
5950,Cariboo,325,0.2%
5950,Cariboo,492,0.2%
4880,Wood Buffalo-Cold Lake,321,0.2%
4850,Red Deer,331,0.2%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,115,0.2%
4830,Calgary,331,0.2%
4820,Camrose-Drumheller,336,0.2%
5930,Thompson-Okanagan,323,0.2%
3560,London,492,0.2%
1210,Cape Breton,213,0.2%
1010,Avalon Peninsula,321,0.2%
5960,North Coast / Côte-nord,492,0.2%
2450,Lanaudière,493,0.2%
1040,Notre Dame-Central Bonavista Bay,523,0.2%
4610,Southeast / Sud-est,482,0.2%
4610,Southeast / Sud-est,322,0.2%
4610,Southeast / Sud-est,493,0.2%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,221,0.2%
3530,Toronto,331,0.2%
2460,Outaouais,221,0.2%
2475,Saguenay-Lac-Saint-Jean,315,0.2%
6110,Northwest Territories / Territoires du Nord-Ouest,323,0.2%
3510,Ottawa,321,0.2%
1350,Edmundston-Woodstock,325,0.2%
2470,Mauricie,492,0.2%
2420,Capitale-Nationale,322,0.2%
5970,Nechako,523,0.2%
2465,Abitibi-Témiscamingue,336,0.2%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,333,0.2%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,327,0.2%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,337,0.2%
1010,Avalon Peninsula,111,0.2%
2470,Mauricie,312,0.2%
4870,Athabasca-Grande Prairie-Peace River,333,0.2%
2430,Estrie,212,0.2%
1340,Fredericton-Oromocto,327,0.2%
4830,Calgary,312,0.2%
2415,Bas-Saint-Laurent,492,0.2%
2470,Mauricie,331,0.2%
1110,Prince Edward Island / Île-du-Prince-Édouard,327,0.2%
1330,Saint John-St. Stephen,115,0.2%
1250,Halifax,321,0.2%
6010,Yukon,311,0.2%
5930,Thompson-Okanagan,213,0.2%
4680,North / Nord,327,0.2%
5980,Northeast / Nord-est,311,0.2%
1250,Halifax,324,0.2%
4760,Northern / Nord,524,0.2%
2433,Centre-du-Québec,493,0.2%
4850,Red Deer,339,0.2%
4720,Swift Current-Moose Jaw,482,0.2%
3510,Ottawa,492,0.2%
1320,Moncton-Richibucto,483,0.2%
3540,Kitchener-Waterloo-Barrie,115,0.2%
1330,Saint John-St. Stephen,493,0.2%
4650,Winnipeg,211,0.2%
1110,Prince Edward Island / Île-du-Prince-Édouard,323,0.2%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,487,0.2%
4850,Red Deer,323,0.2%
1210,Cape Breton,336,0.2%
1320,Moncton-Richibucto,113,0.2%
1220,North Shore / Côte-nord,314,0.2%
1250,Halifax,312,0.2%
2460,Outaouais,332,0.2%
2410,Gaspésie-Îles-de-la-Madeleine,487,0.2%
